year,tournament_id,tournament_name,start_date,end_date,host_country,winner,host_won,count_teams,total_matches,total_goals,avg_goals_per_match,avg_margin
1930,WC-1930,1930 FIFA Men's World Cup,1930-07-13,1930-07-30,Uruguay,Uruguay,1,13,18,70,3.888888888888889,2.6666666666666665
1934,WC-1934,1934 FIFA Men's World Cup,1934-05-27,1934-06-10,Italy,Italy,1,16,17,70,4.117647058823529,1.5294117647058822
1938,WC-1938,1938 FIFA Men's World Cup,1938-06-04,1938-06-19,France,Italy,0,15,18,84,4.666666666666667,2.111111111111111
1950,WC-1950,1950 FIFA Men's World Cup,1950-06-24,1950-07-16,Brazil,Uruguay,0,13,22,88,4.0,2.272727272727273
1954,WC-1954,1954 FIFA Men's World Cup,1954-06-16,1954-07-04,Switzerland,West Germany,0,16,26,140,5.384615384615385,3.0
1958,WC-1958,1958 FIFA Men's World Cup,1958-06-08,1958-06-29,Sweden,Brazil,0,16,35,126,3.6,1.542857142857143
1962,WC-1962,1962 FIFA Men's World Cup,1962-05-30,1962-07-17,Chile,Brazil,0,16,32,89,2.78125,1.53125
1966,WC-1966,1966 FIFA Men's World Cup,1966-07-11,1966-07-30,England,England,1,16,32,89,2.78125,1.53125
1970,WC-1970,1970 FIFA Men's World Cup,1970-05-31,1970-06-21,Mexico,Brazil,0,16,32,95,2.96875,1.53125
1974,WC-1974,1974 FIFA Men's World Cup,1974-06-13,1974-07-07,West Germany,West Germany,1,16,38,97,2.5526315789473686,1.6578947368421053
1978,WC-1978,1978 FIFA Men's World Cup,1978-06-01,1978-06-25,Argentina,Argentina,1,16,38,102,2.6842105263157894,1.4736842105263157
1982,WC-1982,1982 FIFA Men's World Cup,1982-06-13,1982-07-11,Spain,Italy,0,24,52,146,2.8076923076923075,1.3846153846153846
1986,WC-1986,1986 FIFA Men's World Cup,1986-05-31,1986-06-29,Mexico,Argentina,0,24,52,132,2.5384615384615383,1.4230769230769231
1990,WC-1990,1990 FIFA Men's World Cup,1990-06-08,1990-07-08,Italy,West Germany,0,24,52,115,2.2115384615384617,1.2115384615384615
1994,WC-1994,1994 FIFA Men's World Cup,1994-06-17,1994-07-17,United States,Brazil,0,24,52,141,2.7115384615384617,1.3653846153846154
1998,WC-1998,1998 FIFA Men's World Cup,1998-06-10,1998-07-12,France,France,1,32,64,171,2.671875,1.296875
2002,WC-2002,2002 FIFA Men's World Cup,2002-05-31,2002-06-30,"Korea, Japan",Brazil,0,32,64,161,2.515625,1.296875
2006,WC-2006,2006 FIFA Men's World Cup,2006-06-09,2006-07-09,Germany,Italy,0,32,64,147,2.296875,1.421875
2010,WC-2010,2010 FIFA Men's World Cup,2010-06-11,2010-07-11,South Africa,Spain,0,32,64,145,2.265625,1.234375
2014,WC-2014,2014 FIFA Men's World Cup,2014-06-12,2014-07-13,Brazil,Germany,0,32,64,171,2.671875,1.421875
2018,WC-2018,2018 FIFA Men's World Cup,2018-06-14,2018-07-15,Russia,France,0,32,64,169,2.640625,1.296875
2022,WC-2022,2022 FIFA Men's World Cup,2022-11-20,2022-12-18,Qatar,Argentina,0,32,64,172,2.6875,1.40625
